,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Airport ID_x,Name_x,City,Country_x,IATA_x,ICAO_x,source_latitude,source_longitude,Altitude_x,TimeZone_x,DST_x,Tz Database Time Zone_x,Continent,Airport ID_y,Name_y,Destination City,Country_y,IATA_y,ICAO_y,destination_latitude,destination_longitude,Altitude_y,TimeZone_y,DST_y,Tz Database Time Zone_y,Destination Continent
88,LH,3320,MUC,346,KIV,1735,Y,0.0,E95,346.0,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487.0,1,E,Europe/Berlin,Europe,1735.0,Chi?in?u International Airport,Chisinau,Moldova,KIV,LUKK,46.92770004,28.93099976,399.0,2,E,Europe/Chisinau,Europe
103,OS,491,VIE,1613,KIV,1735,Y,0.0,100 DH4 F70,1613.0,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024,600.0,1,E,Europe/Vienna,Europe,1735.0,Chi?in?u International Airport,Chisinau,Moldova,KIV,LUKK,46.92770004,28.93099976,399.0,2,E,Europe/Chisinau,Europe
119,UN,5067,DME,4029,MSQ,2954,Y,0.0,735,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
123,S7,4329,LED,2948,MSQ,2954,Y,0.0,CRJ 735,2948.0,Pulkovo Airport,St. Petersburg,Russia,LED,ULLI,59.8003006,30.26250076,78.0,3,N,Europe/Moscow,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
124,UN,5067,LED,2948,MSQ,2954,Y,0.0,735,2948.0,Pulkovo Airport,St. Petersburg,Russia,LED,ULLI,59.8003006,30.26250076,78.0,3,N,Europe/Moscow,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
137,LH,3320,FRA,340,MSQ,2954,Y,0.0,E90,340.0,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364.0,1,E,Europe/Berlin,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
139,AY,2350,HEL,421,MSQ,2954,Y,0.0,CR2 733,421.0,Helsinki Vantaa Airport,Helsinki,Finland,HEL,EFHK,60.31719971,24.9633007,179.0,2,E,Europe/Helsinki,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
144,OK,1946,PRG,1587,MSQ,2954,Y,0.0,E75 E95 733,1587.0,Václav Havel Airport Prague,Prague,Slovenia,PRG,LKPR,50.1008,14.26,1247.0,1,E,Europe/Prague,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
145,B2,1478,VIE,1613,MSQ,2954,Y,0.0,F70,1613.0,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024,600.0,1,E,Europe/Vienna,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
146,OS,491,VIE,1613,MSQ,2954,Y,0.0,100 F70 320 319 321,1613.0,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024,600.0,1,E,Europe/Vienna,Europe,2954.0,Minsk National Airport,Minsk 2,Belarus,MSQ,UMMS,53.88249969,28.03070068,670.0,3,E,Europe/Minsk,Europe
189,MH,3378,KUL,3304,TAS,2983,Y,0.0,764,3304.0,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.745579958,101.7099991,69.0,8,N,Asia/Kuala_Lumpur,Asia,2983.0,Tashkent International Airport,Tashkent,Uzbekistan,TAS,UTTT,41.25790024,69.28119659,1417.0,5,U,Asia/Samarkand,Asia
191,MH,3378,SIN,3316,TAS,2983,Y,0.0,752,3316.0,Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,1.35019,103.994003,22.0,8,N,Asia/Singapore,Asia,2983.0,Tashkent International Airport,Tashkent,Uzbekistan,TAS,UTTT,41.25790024,69.28119659,1417.0,5,U,Asia/Samarkand,Asia
251,TK,4951,SAW,4317,TZX,1726,Y,0.0,738,4317.0,Sabiha Gökçen International Airport,Istanbul,Turkey,SAW,LTFJ,40.89860153,29.30920029,312.0,3,E,Europe/Istanbul,Asia,1726.0,Trabzon International Airport,Trabzon,Turkey,TZX,LTCG,40.99509811,39.78969955,104.0,3,E,Europe/Istanbul,Asia
258,TK,4951,ESB,1682,TZX,1726,Y,0.0,738,1682.0,Esenbo?a International Airport,Ankara,Turkey,ESB,LTAC,40.12810135,32.99509811,3125.0,3,E,Europe/Istanbul,Asia,1726.0,Trabzon International Airport,Trabzon,Turkey,TZX,LTCG,40.99509811,39.78969955,104.0,3,E,Europe/Istanbul,Asia
