,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Airport ID_x,Name_x,City,Country_x,IATA_x,ICAO_x,source_latitude,source_longitude,Altitude_x,TimeZone_x,DST_x,Tz Database Time Zone_x,Continent,Airport ID_y,Name_y,Destination City,Country_y,IATA_y,ICAO_y,destination_latitude,destination_longitude,Altitude_y,TimeZone_y,DST_y,Tz Database Time Zone_y,Destination Continent
225,BT,333,RIX,3953,TAS,2983,Y,0.0,763,3953.0,Riga International Airport,Riga,Latvia,RIX,EVRA,56.92359924,23.97109985,36.0,2,E,Europe/Riga,Europe,2983.0,Tashkent International Airport,Tashkent,Uzbekistan,TAS,UTTT,41.25790024,69.28119659,1417.0,5,U,Asia/Samarkand,Asia
281,OS,491,VIE,1613,EVN,3964,Y,0.0,320 321,1613.0,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024,600.0,1,E,Europe/Vienna,Europe,3964.0,Zvartnots International Airport,Yerevan,Armenia,EVN,UDYZ,40.14730072,44.39590073,2838.0,4,E,Asia/Yerevan,Asia
282,TD,1048,VIE,1613,EVN,3964,Y,0.0,321,1613.0,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024,600.0,1,E,Europe/Vienna,Europe,3964.0,Zvartnots International Airport,Yerevan,Armenia,EVN,UDYZ,40.14730072,44.39590073,2838.0,4,E,Asia/Yerevan,Asia
283,UA,5209,VIE,1613,EVN,3964,Y,0.0,320 321,1613.0,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024,600.0,1,E,Europe/Vienna,Europe,3964.0,Zvartnots International Airport,Yerevan,Armenia,EVN,UDYZ,40.14730072,44.39590073,2838.0,4,E,Asia/Yerevan,Asia
303,Z6,16120,DNK,2941,EVN,3964,Y,0.0,ER4,2941.0,Dnipropetrovsk International Airport,Dnepropetrovsk,Ukraine,DNK,UKDD,48.35720062,35.1006012,481.0,2,E,Europe/Kiev,Europe,3964.0,Zvartnots International Airport,Yerevan,Armenia,EVN,UDYZ,40.14730072,44.39590073,2838.0,4,E,Asia/Yerevan,Asia
419,UN,5067,SIN,3316,DME,4029,Y,0.0,77W,3316.0,Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,1.35019,103.994003,22.0,8,N,Asia/Singapore,Asia,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe
510,S7,4329,NRT,2279,DME,4029,Y,0.0,787,2279.0,Narita International Airport,Tokyo,Japan,NRT,RJAA,35.76470184,140.3860016,141.0,9,U,Asia/Tokyo,Asia,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe
563,S7,4329,AMM,2170,DME,4029,Y,0.0,320,2170.0,Queen Alia International Airport,Amman,Jordan,AMM,OJAI,31.72260094,35.99319839,2395.0,2,E,Asia/Amman,Asia,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe
569,S7,4329,AUH,2179,DME,4029,Y,0.0,330,2179.0,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH,OMAA,24.43300056,54.65110016,88.0,4,U,Asia/Dubai,Asia,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe
576,UN,5067,IAH,3550,DME,4029,Y,0.0,77W,3550.0,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.9843998,-95.34140015,97.0,-6,A,America/Chicago,North America,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe
603,S7,4329,OSS,2913,DME,4029,Y,0.0,738,2913.0,Osh Airport,Osh,Kyrgyzstan,OSS,UAFO,40.60900116,72.79329681,2927.0,6,U,Asia/Bishkek,Asia,4029.0,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959,588.0,3,N,Europe/Moscow,Europe
691,US,5265,ZRH,1678,IST,1701,Y,0.0,320,1678.0,Zürich Airport,Zurich,Switzerland,ZRH,LSZH,47.464699,8.54917,1416.0,1,E,Europe/Zurich,Europe,13696.0,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.275278,28.751944,325.0,3,E,\N,Asia
698,US,5265,ORD,3830,IST,1701,Y,0.0,330,3830.0,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,672.0,-6,A,America/Chicago,North America,13696.0,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.275278,28.751944,325.0,3,E,\N,Asia
704,OZ,28,NBO,4059,IST,1701,Y,0.0,738,4059.0,Jomo Kenyatta International Airport,Nairobi,Kenya,NBO,HKJK,-1.319239974,36.92779922,5330.0,3,N,Africa/Nairobi,Africa,13696.0,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.275278,28.751944,325.0,3,E,\N,Asia
722,US,5265,MUC,346,IST,1701,Y,0.0,320 321 738,346.0,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487.0,1,E,Europe/Berlin,Europe,13696.0,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.275278,28.751944,325.0,3,E,\N,Asia
746,US,5265,LAX,3484,IST,1701,Y,0.0,77W,3484.0,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125.0,-8,A,America/Los_Angeles,North America,13696.0,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.275278,28.751944,325.0,3,E,\N,Asia
764,US,5265,JFK,3797,IST,1701,Y,0.0,330 77W,3797.0,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,13.0,-5,A,America/New_York,North America,13696.0,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.275278,28.751944,325.0,3,E,\N,Asia
